 Value of m    Value of n  Wavelength in Å
        37        36   22160798.000
        38         1        912.432
        38         2       3657.331
        38         3       8257.668
        38         4      14752.260
        38         5      23196.604
        38         6      33664.070
        38         7      46247.543
        38         8      61061.523
        38         9      78244.875
        38        10      97964.219
        38        11     120418.250
        38        12     145843.109
        38        13     174519.234
        38        14     206779.875
        38        15     243021.984
        38        16     283720.219
        38        17     329444.781
        38        18     380884.906
        38        19     438879.750
        38        20     504459.469
        38        21     578901.188
        38        22     663805.625
        38        23     761204.500
        38        24     873714.438
        38        25    1004761.312
        38        26    1158916.750
        38        27    1342419.500
        38        28    1564007.750
        38        29    1836307.750
        38        30    2178263.000
        38        31    2619648.000
        38        32    3210091.500
        38        33    4038929.500
        38        34    5284842.000
        38        35    7364761.500
        38        36   11529485.000
        38        37   24033024.000
        39         1        912.400
        39         2       3656.817
        39         3       8255.046
        39         4      14743.896
        39         5      23175.932
        39         6      33620.551
        39         7      46165.449
        39         8      60918.504
        39         9      78010.188
        39        10      97596.609
        39        11     119863.273
        39        12     145029.828
        39        13     173355.969
        39        14     205148.797
        39        15     240772.188
        39        16     280658.531
        39        17     325323.875
        39        18     375387.375
        39        19     431596.625
        39        20     494860.969
        39        21     566296.188
        39        22     647284.875
        39        23     739559.000
        39        24     845316.688
        39        25     967388.312
        39        26    1109478.250
        39        27    1276530.375
        39        28    1475290.000
        39        29    1715204.500
        39        30    2009924.375
        39        31    2379929.750
        39        32    2857409.000
        39        33    3496012.500
        39        34    4392318.000
        39        35    5739489.500
        39        36    7988245.000
        39        37   12490754.000
        39        38   26007934.000
        40         1        912.370
        40         2       3656.341
        40         3       8252.621
        40         4      14736.161
        40         5      23156.826
        40         6      33580.355
        40         7      46089.695
        40         8      60786.668
        40         9      77794.125
        40        10      97258.672
        40        11     119353.945
        40        12     144284.828
        40        13     172292.594
        40        14     203661.312
        40        15     238725.797
        40        16     277881.875
        40        17     321599.031
        40        18     370436.594
        40        19     425065.094
        40        20     486293.344
        40        21     555104.438
        40        22     632704.250
        40        23     720585.875
        40        24     820620.000
        40        25     935179.500
        40        26    1067319.125
        40        27    1221037.250
        40        28    1401669.000
        40        29    1616492.875
        40        30    1875702.625
        40        31    2194027.250
        40        32    2593564.250
        40        33    3109041.500
        40        34    3798344.500
        40        35    4765674.500
        40        36    6219435.000
        40        37    8645913.000
        40        38   13503993.000
        40        39   28088020.000
        41         1        912.343
        41         2       3655.899
        41         3       8250.372
        41         4      14728.992
        41         5      23139.127
        41         6      33543.152
        41         7      46019.641
        41         8      60664.867
        41         9      77594.750
        41        10      96947.242
        41        11     118885.281
        41        12     143600.484
        41        13     171317.688
        41        14     202300.484
        41        15     236858.203
        41        16     275354.625
        41        17     318218.844
        41        18     365959.000
        41        19     419180.000
        41        20     478606.031
        41        21     545110.000
        41        22     619752.812
        41        23     703834.312
        41        24     798964.562
        41        25     907159.062
        41        26    1030974.500
        41        27    1173702.125
        41        28    1339648.625
        41        29    1534560.500
        41        30    1766276.625
        41        31    2045776.250
        41        32    2388921.500
        41        33    2819508.750
        41        34    3374937.750
